phrase,english,pinyin
住,"(suffix indicating firmness, steadiness, or coming to a halt)",zhù
跳进,"to plunge into, to jump into",tiào jìn
园,"land used for growing plants, site used for public recreation, abbr. for a place ending in 园|園 such as a botanical garden 植物园|植物園, kindergarten 幼儿园|幼兒園 etc",yuán
小事,"trifle, trivial matter",xiǎo shì
听到,to hear,tīng dào
路过,to pass by or through,lù guò
咬,"to bite, to nip",yǎo
他们,they,tā men
有些,"some, somewhat",yǒu xiē
这时,"at this time, at this moment",zhè shí
大门,"entrance, gate",dà mén
找到,"to find, to seek out",zhǎo dào
休息,"rest, to rest",xiū xi
尾巴,tail,wěi ba
那,then (in that case),nà
动,"(of sth) to move, to set in movement",dòng
打开,"to open, to unfold",dǎ kāi
坏人,"bad person, villain",huài rén
听说,to hear (sth said),tīng shuō
乐园,paradise,lè yuán
盖子,"cover, lid",gài zi
坏,"bad, spoiled, broken",huài
箱子,"box, suitcase, chest",xiāng zi
游泳池,swimming pool,yóu yǒng chí
不,(between a verb and its complement) cannot,bù
总的来说,"generally speaking, to sum up, in short",zǒng de lái shuō
回答,"to reply, to answer",huí dá
种,"kind, type, classifier for types, kinds, sorts",zhǒng
难过,"to feel sad, to feel unwell, (of life) to be difficult",nán guò
发现,"to find, to discover",fā xiàn
光,to use up,guāng
喊,"to yell, to shout, to call out for (a person)",hǎn
大声,"loud voice, loudly",dà shēng
开始,"to begin, to start",kāi shǐ
应该,"ought to, should, must",yīng gāi
有关,"to have sth to do with, to relate to, to concern",yǒu guān
常常,"frequently, often",cháng cháng
不够,"not enough, insufficient, inadequate",bú gòu
很,very,hěn
邻居,"neighbor, next door",lín jū
样子,"appearance, manner",yàng zi
清楚,"clear, distinct, to understand thoroughly",qīng chu
声,"sound, voice, tone",shēng
小声,"in a low voice, (speak) in whispers",xiǎo shēng
要么,"or, either one or the other",yào me
担心,"to worry, to be anxious",dān xīn
生气,"to get angry, to take offense",shēng qì
马上,"at once, right away, immediately",mǎ shàng
参加,"to participate, to join",cān jiā
厉害,"formidable, tremendous, awesome",lì hai
特别,"especially, particually",tè bié
问道,"to ask (a question, used with direct speech)",wèn dào
相信,"to be convinced (that sth is true), to believe, to accept sth as true",xiāng xìn
一下子,"in a short while, all at once, all of a sudden",yí xià zi
拿走,to take away,ná zǒu
怎么回事,"what's the matter?, what's going on?, how could that be?",zěn me huí shì
意思,meaning,yì si
太阳,sun,tài yáng
有时候,sometimes,yǒu shí hou
刚,"just, as soon as",gāng
没什么,"nothing, it doesn't matter, never mind",méi shén me
闻闻,"to smell, to sniff at",wén wén
商场,"shopping mall, shopping center, department store",shāng chǎng
以前,"before, formerly",yǐ qián
往,"to go (in a direction), to, towards",wǎng
突然,"sudden, abrupt, unexpected",tū rán
希望,"to wish for, to desire, to hope",xī wàng
听见,to hear,tīng jiàn
越来越,more and more,yuè lái yuè
一来一往,back and forth,yì lái yì wǎng
热情,"enthusiastic, passionate, warmhearted",rè qíng
重要,important,zhòng yào
拿,"to hold, to take",ná
已经,already,yǐ jīng
正在,in the process of (doing something or happening),zhèng zài
下来,"(after verb of motion, indicates motion down and towards us, also fig.)",xià lái
快,"almost, soon",kuài
说起,"to mention, to bring up (a subject)",shuō qǐ
再说,"moreover, what's more, besides",zài shuō
大叫,"to yell, to shout",dà jiào
样,"manner, way, appearance",yàng
多么,"how (wonderful etc), what (a great idea etc), to what extent",duō me
没错,"that's right, sure!, rest assured!",méi cuò
这么,"this way, like this",zhè me
那么,"like that, so, then",nà me
还是,or,hái shi
长得,"to look (pretty, the same etc), to grow",zhǎng de
心事,"a load on one's mind, worry",xīn shì
怎么办,"what to do, what should we do",zěn me bàn
时候,time,shí hou
说出,"to speak out, to declare (one's view)",shuō chū
等,"to wait for, to await",děng
事情,"matter, thing",shì qing
上,(after verb) indicating the start of an action,shàng
过,(experienced action marker),guò
告诉,"to tell, to inform",gào su
错,"wrong, erroneous, incorrect",cuò
看起来,"seemingly, apparently, looks as if",kàn qǐ lái
身边,"at one's side, on hand",shēn biān
没意思,"boring, of no interest",méi yì si
打不过,"unable to defeat, to be no match for sb",dǎ bu guò
听,"to listen, to hear, to obey",tīng
因为,"because, owing to",yīn wèi
不得不,"have no choice or option but to, cannot but, have to",bù dé bù
好好,"well, carefully, properly",hǎo hǎo
想到,"to think of, to call to mind, to anticipate",xiǎng dào
这样,"this kind of, like this",zhè yàng
过去,(verb suffix) indicating motion towards or away from speaker,guò qu
起来,"(after a verb, indicating the beginning and continuation of an action or a state)",qǐ lái
跳,"to jump, to hop",tiào
办法,"method, way (of doing sth)",bàn fǎ
像,"to resemble, to be like",xiàng
一样,"same, like",yí yàng
让,to let sb do sth,ràng
帮,"to help, to assist",bāng
想起,"to recall, to think of, to call to mind",xiǎng qǐ
地,"(indicates that the preceding word or phrase is used as an adverb), -ly",de
要是,"if, in case",yào shi
虽然,"although, even though",suī rán
着,(indicates continuing action or state),zhe
别说,"let alone, not to mention",bié shuō
进,"to go forward, to go in, to enter",jìn
心想,to think to oneself,xīn xiǎng
又,"(once) again, also",yòu
还,"also, even more, in addition",hái
好像,"as if, to seem like",hǎo xiàng
开玩笑,to joke,kāi wán xiào
出去,to go out,chū qù
小笼包,steamed dumpling,xiǎo lóng bāo
不好意思,"to feel embarrassed, to be sorry (for inconveniencing sb)",bù hǎo yì si
现在,"now, at present",xiàn zài
吧,"(modal particle indicating suggestion or surmise), ...OK?",ba
比,"to compare, to contrast",bǐ
做,"to do, to make",zuò
好笑,"laughable, funny, ridiculous",hǎo xiào
后,"afterwards, later",hòu
次,classifier for enumerated events: time,cì
啊,"modal particle ending sentence, showing affirmation, approval, or consent",a
里,inside,lǐ
里面,"inside, interior",lǐ miàn
饭店,"restaurant, hotel",fàn diàn
好玩,"amusing, fun, interesting",hǎo wán
后来,"afterwards, later",hòu lái
商店,"store, shop",shāng diàn
想,"to want, to wish",xiǎng
干,"to do, to manage, to work",gàn
就,just (emphasis),jiù
